region,fishID,total.length,asx,glx,phe,glx.phe,asx.phe,tp.glx.phe
BBR,ced209,14,21,20.3,4.4,15.9,16.6,2.644736842
BBR,ced119,15,19,18,2.1,15.9,16.9,2.644736842
BBR,ced122,16,19.3,18.1,2.8,15.3,16.5,2.565789474
BBR,ced103,17,19.7,18.7,1.6,17.1,18.1,2.802631579
BBR,ced311,18,20.8,19.8,3.4,16.4,17.4,2.710526316
BBR,ced304,19,21.5,20.4,3.2,17.2,18.3,2.815789474
BBR,ced314,20,21.5,20.2,3.8,16.4,17.7,2.710526316
BBR,hsb312,20.9,21.1,20.3,2.1,18.2,19,2.947368421
BBR,hsb323,22,20.9,20.1,2.7,17.4,18.2,2.842105263
BBR,hsb305,23,21.7,19.7,3,16.7,18.7,2.75
BBR,hsb308,23.9,21.7,21.3,3.9,17.4,17.8,2.842105263
BBR,hsb333,24.4,23.3,22.1,1.8,20.3,21.5,3.223684211
PIS,red210,11.2,18.9,18.7,3.3,15.4,15.6,2.578947368
PIS,jug238,12.1,17.5,16.2,0.2,16,17.3,2.657894737
PIS,jug253,13.1,18.4,17.6,1.6,16,16.8,2.657894737
PIS,red220,14,18.2,18.1,2.8,15.3,15.4,2.565789474
PIS,jug236,15.1,18.9,18.6,0.8,17.8,18.1,2.894736842
PIS,jug247,17.8,19.2,19.1,0.7,18.3,18.5,2.973684211
PIS,jug231,19,17.8,16.8,-0.6,17.4,18.4,2.842105263
PIS,jug308,20.6,18.6,17.4,0.5,16.9,18.1,2.776315789
PIS,red010,21.9,19.5,18,0.6,17.4,18.9,2.842105263
PIS,red006,24.5,20.5,19.9,1.4,18.4,19.1,2.986842105
PIS,red016,25.2,20.2,18.9,0.7,18.2,19.5,2.947368421
PIS,red007,25.6,20.5,19.6,0.4,19.2,20.1,3.078947368
SAB,sab315,13.3,17.8,16.6,0.9,15.7,16.9,2.618421053
SAB,sab309,13.3,18.6,17.2,0.8,16.4,17.8,2.710526316
SAB,sab312,13.8,17.7,17.2,3.2,14,14.5,2.394736842
SAB,sab318,15,17.9,17.5,1.1,16.4,16.8,2.710526316
SAB,sab325,15.4,19,17.9,1.4,16.5,17.6,2.723684211
SAB,sab113,17.1,19.2,17.5,2.2,15.3,17,2.565789474
SAB,sab220,18.2,21.5,21.2,3.8,17.4,17.7,2.842105263
SAB,sab111,19,21.3,20.5,1.9,18.6,19.4,3
SAB,sab323,21.3,21.7,21.4,1.6,19.8,20.1,3.157894737
SAB,sab119,21.8,20.7,19.7,1.7,18,19,2.921052632
SAB,sab021,23,23.5,22.9,4.4,18.5,19.1,2.986842105
SAB,sab018,24.8,22.9,22.2,2.9,19.4,20,3.092105263
SAR,sar320,13.9,17.1,16.4,1.1,15.3,16,2.565789474
SAR,sar306,15.5,17.1,16.5,0.7,15.8,16.4,2.631578947
SAR,sar315,16.2,17,16.3,0.8,15.5,16.2,2.592105263
SAR,sar314,16.8,17.6,16.5,0.6,15.9,17,2.644736842
SAR,sar330,17,17.6,16.6,1.3,15.3,16.3,2.565789474
SAR,sar037,19.2,19.4,18.9,1.5,17.4,17.9,2.842105263
SAR,sar149,21.9,20.3,19.3,1.8,17.5,18.5,2.855263158
SAR,sar112,23,20.1,18.5,1.7,16.8,18.4,2.763157895
SAR,sar116,24,21.5,21.1,2,19.1,19.5,3.065789474
SAR,sar044,18,19.4,18.5,0.7,17.8,18.7,2.894736842
SAR,sar156,21,18.7,17.8,-0.2,18,18.9,2.921052632
SAR,sar107,25,20.5,19.6,0.4,19.2,20.1,3.078947368
SJB,sjb203,12.2,20.6,19.5,3.2,16.3,17.4,2.697368421
SJB,sjb220,12.9,19.3,18.6,2.2,16.4,17.1,2.710526316
SJB,sjb319,13.5,19.3,18,1.5,16.5,17.8,2.723684211
SJB,sjb318,16,19,17.6,1,16.6,18,2.736842105
SJB,sjb321,16.9,19.7,17.9,0.7,17.2,19,2.815789474
SJB,sjb047,19.1,21.4,19.7,2.5,17.2,18.9,2.815789474
SJB,sjb038,20,22.4,21.6,3.8,17.8,18.6,2.894736842
SJB,sjb126,20.5,20.5,19.8,4.1,15.7,16.4,2.618421053
SJB,sjb104,21.6,20.7,19.1,1.8,17.3,18.9,2.828947368
SJB,sjb32,23,22.3,20.6,1.3,19.3,21,3.092105263
SJB,sjb023,23.1,22.8,21.3,2.8,18.5,20,2.986842105
SJB,sjb129,24,21.8,20.1,0.9,19.2,20.9,3.078947368
TAM,mul328,13.5,16.6,15.5,0.8,14.7,15.8,2.486842105
TAM,mul319,14.3,17,15.4,0.6,14.8,16.4,2.5
TAM,mul329,15.2,20,18.8,1.7,17.1,18.3,2.802631579
TAM,mul310,16.4,20.4,19.5,4.2,15.3,16.2,2.565789474
TAM,mul313,17.3,18.9,17.1,1.3,15.8,17.6,2.631578947
TAM,mul321,18.7,19.1,17.5,0.8,16.7,18.3,2.75
TAM,egm108,19,19,17.4,1.5,15.9,17.5,2.644736842
TAM,mul307,21.2,21,20.3,3.7,16.6,17.3,2.736842105
TAM,mul306,22.2,20.1,18.7,0.6,18.1,19.5,2.934210526
TAM,mul302,23.2,19.1,18.6,0.2,18.4,18.9,2.973684211
TAM,mul315,24.3,20,19.5,2.4,17.1,17.6,2.802631579
TAM,egm105,25.4,21.2,20.7,2.1,18.6,19.1,3
TPS,tps313,11.2,17.5,17,2.4,14.6,15.1,2.473684211
TPS,tps221,12.5,19.9,19,2.8,16.2,17.1,2.684210526
TPS,tps331,12.7,18.2,18,3.5,14.5,14.7,2.460526316
TPS,tps303,14.9,17.4,16.6,0.2,16.4,17.2,2.710526316
TPS,tps220,16.1,20.4,20.1,1.9,18.2,18.5,2.947368421
TPS,tps307,17,19.3,18.2,1.5,16.7,17.8,2.75
TPS,tps304,18,20,19.9,1.8,18.1,18.2,2.934210526
TPS,tps128,19,19.8,18.4,1.6,16.8,18.2,2.763157895
TPS,tps117,20.1,18.8,18.2,1.6,16.6,17.2,2.736842105
TPS,tps105,21.3,20,18.4,0.1,18.3,19.9,2.960526316
TPS,tps024,24,20.1,19.5,2.6,16.9,17.5,2.776315789
TPS,tps031,25,22.9,22.5,3.3,19.2,19.6,3.078947368
